uid,name,type,programs,alternate_names
12206,TEHRIK-E TALIBAN PAKISTAN (TTP),entity,FTO; SDGT,TEHRIK-I-TALIBAN PAKISTAN; TEHRIK-E-TALIBAN; PAKISTANI TALIBAN; TEHREEK-E-TALIBAN
12209,OFFICE 39,entity,DPRK,OFFICE #39; OFFICE NO. 39; BUREAU 39; CENTRAL COMMITTEE BUREAU 39; DIVISION 39
12210,RECONNAISSANCE GENERAL BUREAU,entity,DPRK; DPRK2,CHONGCH'AL CH'ONGGUK; KPA UNIT 586
12211,"KIM, Yong Chol",individual,DPRK,"KIM, Yong-Chol; KIM, Young-Chol; KIM, Young-Cheol; KIM, Young-Chul"
12212,GREEN PINE ASSOCIATED CORPORATION,entity,DPRK,CHONGSONG YONHAP; CH'O'NGSONG YO'NHAP; CHO'NGSONG UNITED TRADING COMPANY; JINDALLAE; SAENGP'IL COMPANY; KU'MHAERYONG COMPANY LTD; NATURAL RESOURCES DEVELOPMENT AND INVESTMENT CORPORATION; CHOSUN CHAWO'N KAEBAL T'UJA HOESA
12213,SECOND ECONOMIC COMMITTEE,entity,NPWMD,
12214,MUNITIONS INDUSTRY DEPARTMENT,entity,NPWMD,MILITARY SUPPLIES INDUSTRY DEPARTMENT
12215,SECOND ACADEMY OF NATURAL SCIENCES,entity,NPWMD,2ND ACADEMY OF NATURAL SCIENCES; CHE 2 CHAYON KWAHAK-WON; ACADEMY OF NATURAL SCIENCES; CHAYON KWAHAK-WON; NATIONAL DEFENSE ACADEMY; KUKPANG KWAHAK-WON; SECOND ACADEMY OF NATURAL SCIENCES RESEARCH INSTITUTE; SANSRI
12216,"RI, Je-Son",individual,NPWMD,"RI, Che-Son"
12217,"RI, Hong-Sop",individual,NPWMD,
12218,"YUN, Ho-Jin",individual,NPWMD,"YUN, Ho-Chin"
12219,KOREA TAESONG TRADING COMPANY,entity,NPWMD,
12220,KOREA HEUNGJIN TRADING COMPANY,entity,NPWMD,HUNJIN TRADING CO.
12251,"RADAN, Ahmad-Reza",individual,IRAN-HR,
12252,"MOHSENI-EJEI, Qolam-Hossein",individual,IRAN-HR,"MOHSENI EJEI, Gholam Hossein"
12253,"MAHSOULI, Sadeq",individual,IRAN-HR,"MAHSULI, Sadeq"
12254,"MORTAZAVI, Saeed",individual,IRAN-HR,"MORTAZAVI, Sa'id"
12255,"MOSLEHI, Heydar",individual,IRAN-HR,"MOSLEHI, Heidar"
12256,"NAJJAR, Mostafa Mohammad",individual,IRAN-HR,
12257,"TAEB, Hossein",individual,SDGT; IRGC; IRAN-HR,"TAEB, Hosein; TAEB, Hussayn; TAEB, Hassan"
12274,"LORENA DEL MAR, S.A. DE C.V.",entity,SDNTK,
12277,"FLORBEL OPERADORA DE RESTAURANTES, S.A. DE C.V.",entity,SDNTK,
12278,"TATES DESARROLLO, S.A. DE C.V.",entity,SDNTK,
12279,"JR CONTROLADORA DE RESTAURANTES, S.A. DE C.V.",entity,SDNTK,
12293,"KAKAR, Saleh Mohammad",individual,SDGT,
12294,AL REHMAT TRUST,entity,SDGT,AL-RAHMAT TRUST; AL-REHMAN TRUST; UR-RAHMAN TRUST; AR-RAHMAN TRUST; UR-RAMAT TRUST
12295,"MAKKI, Hafiz Abdul Rahman",individual,SDGT,"MAKKI, HAFIZ ABDUL REHMAN; MAKI, HAFAZ ABDUL RAHMAN; MAKKI, ABDULRAHMAN; REHMAN, Hafiz Abdul"
12296,"LLANOS GAZIA, Jorge Luis",individual,SDNTK,"LLANOS GAZZIA, Jorge Luis"
12297,"AUDIO ALARMAS, S.A. DE C.V.",entity,SDNTK,
12298,"BASALTOS TONALA, S.A. DE C.V.",entity,SDNTK,
12299,JAYSH AL-ADL,entity,FTO; SDGT,PEOPLE'S RESISTANCE MOVEMENT OF IRAN (PMRI); JONBESH-I MOQAVEMAT-I-MARDOM-I IRAN; THE POPULAR RESISTANCE MOVEMENT OF IRAN; SOLDIERS OF GOD; FEDAYEEN-E-ISLAM; FORMER JUNDALLAH OF IRAN; JUNDULLAH; JONDULLAH; JUNDOLLAH; JONDOLLAH; JONDALLAH; ARMY OF GOD (GOD'S ARMY); BALOCH PEOPLES RESISTANCE MOVEMENT (BPRM); JUNDALLAH; JEYSH AL-ADL; ARMY OF JUSTICE; JAISH UL-ADL; JAISH AL-ADL; JAISH ALADL; JEISH AL-ADL
12306,"GOMEZ ORTIZ, David",individual,SDNTK,
12309,"ALVAREZ ZEPEDA, Alfredo",individual,SDNTK,"ONTIVEROS RIOS, Gabino; RODRIGO ALVAREZ, Sacarias"
12312,KOREA DAESONG BANK,entity,DPRK,TAESONG BANK; CHOSON TAESONG UNHAENG
12313,KOREA DAESONG GENERAL TRADING CORPORATION,entity,DPRK,DAESONG TRADING COMPANY; KOREA DAESONG TRADING COMPANY; KOREA DAESONG TRADING CORPORATION; DAESONG TRADING
12314,"FLOREZ SEPULVEDA, Marco Tulio",individual,SDNTK,
12321,"NSANZUBUKIRE, Felicien",individual,DRCONGO,"IRAKEZA, Fred"
12322,"ZIMURINDA, Innocent",individual,DRCONGO,
12326,"IYAMUREMYE, Gaston",individual,DRCONGO,"RUMULI; RUMULI, Michel; RUMULI, Byiringiro Victor; RUMURI, Victor; BYIRINGIRO, Michel"
12327,"ABDULLAH, Mian",individual,SDGT,"SHABIR, Abu Sa'ad; SHABIR, Abu Saad; SHABBIR, Abu Saad"
12328,"MUGARAGU, Leodomir",individual,DRCONGO,"LEON, Manzi; MANZI, Leo"
12329,"RAUF, Hafiz Abdur",individual,SDGT,"RAOUF, Hafiz Abdul; RAUF, Hafiz Abdul"
12330,"KHAN, Mohammad Naushad Alam",individual,SDGT,"KHAN, Naushad Aalam; KHAN, Rahat Hasan; KHAN, Muhammad Nowshad Alam; KHAN, Muhammad Nawshad Alam"
12379,GESTORES DEL ECUADOR GESTORUM S.A.,entity,SDNTK,
12402,"AFRIDI, Amanullah",individual,SDGT,"URS, Amanullah"
12403,"UR-REHMAN, Mati",individual,SDGT,"REHMAN, Mati-ur; REHMAN, Mati ur; RAHMAN, Matiur; REHMAN, Matiur; AL-REHMAN, Matti; SAMAD, Abdul; SIAL, Samad; SIAL, Abdul Samad"
12404,"AZHAR, Abdul Rauf",individual,SDGT,"ALVI, Abdul Rauf; AZHAR, Abdur Rauf"
12416,"MOLANO TORRES, Deysi Yamile",individual,SDNTK,
12418,"SANCHEZ REY, German Gonzalo",individual,SDNTK,
12419,"SERRALDE PLAZA, Carlos Fernando",individual,SDNTK,
12423,"DORIA CASTILLO, Danit Dario",individual,SDNTK,
12425,MELRUX RICA S PIZZA,entity,SDNTK,
12426,AMG RICAS PIZZA,entity,SDNTK,FUSION PIZZA & PARRILLA; RICA'S PIZZA
12437,"OBRAS, SERVICIOS Y MANTENIMIENTOS C.A.",entity,SDNTK,OSERMACA
12440,INVERSIONES MINERAS H.D. EMPRESA UNIPERSONAL,entity,SDNTK,
12446,CIA. AGROINDUSTRIAL PALMERA S.A.,entity,SDNTK,AGROINDUPALMA S.A.
12449,7 KARNES,entity,SDNTK,
12450,"TAJIDEEN, Ali",individual,SDGT,"TAJEDDINE, Ali; TAJEDDIN, Ali Mohammad Abed Al-Hassan; TAJEDDIN, Ali Mohammad Abdel Hassan; TAGEDDINE, Ali Mohamed; TAJ AL DIN, Ali"
12451,"TAJIDEEN, Husayn",individual,SDGT,"TAJIDINE, Hajj Hussein; TAJIDEEN, Hussein; TAJ AL DIN, Husayn"
12452,TAJCO,entity,SDGT,TAJCO LTD; TAJCO SARL; TAJCO COMPANY; TAJCO COMPANY LLC; TRADEX CO; GRAND STORES (THE GAMBIA LOCATION ONLY)
12453,GOLFRATE HOLDINGS (ANGOLA) LDA,entity,SDGT,GOLFRATE AFRICA; GOLFRATE; GOLFRATE DISTRIBUTION; GOLFRATE FOOD INDUSTRIES; GOLFRATE HPC INDUSTRIES; GOLFRATE PAINTS
12454,CONGO FUTUR,entity,SDGT,CONGO FUTURE; GROUPE CONGO FUTUR; CONGO FUTUR IMPORT
12455,KAIRABA SUPERMARKET,entity,SDGT,KAIRABA SHOPPING CENTER
12456,OVLAS TRADING S.A.,entity,SDGT,OVLAS TRADING S.A.L.
12457,GRUPO AROSFRAN EMPREENDIMENTOS E PARTICIPACOES SARL,entity,SDGT,GRUPO AROSFRAN; GRUPO AROSFRAM; AROSFRAN
12458,AFRI BELG COMMERCIO E INDUSTRIA LDA,entity,SDGT,AFRI BELG; AFRI-BELG; AFRI-BELG SUPERMERCADOS; CASH & CARRY RETAIL STORES; AFRI-BELG CONTRUCTION; AFRI-BELG AGRICULTURE
12460,"WEHBE, Bilal Mohsen",individual,SDGT,"WEHBI, Bilal Mohsen; WAHBI, Bilal Mohsen; WAHBI, Muhsin Bilal; WEHBI, Bilal Mohsem; WAHBI, Bilal Muhsin; WAHBE, Bilal; WIHBI, Bilal Muhsin"
12463,"KHARROUBI, Ali Mohamed",individual,SDNTK,"KHAROUBI, Ali"
12464,ELLISSA HOLDING,entity,SDNTK,ELLISSA SAL (HOLDING)
12465,SOLMAR,entity,SDNTK,
12466,ELLISSA GROUP SA,entity,SDNTK,
12467,AGROPHEN,entity,SDNTK,AGRO-PHEN
12468,ELLISSA SHIPPING,entity,SDNTK,
12469,YAMEN BENIN SARL,entity,SDNTK,
12470,ELLISSA PARC COTONOU,entity,SDNTK,
12471,ELLISSA MEGASTORE,entity,SDNTK,ELLISSA MEGA STORE
12472,ALMACEN JUNIOR,entity,SDNTK,
12473,ALMACEN JUNIOR NO. 2,entity,SDNTK,
12474,COMERCIAL PLANETA,entity,SDNTK,
12475,SOCIETE ELLISSA GROUP CONGO,entity,SDNTK,ELLISSA PARC CONGO; ELLISSA GROUP SA CONGO; ELLISSA GROUP CONGO
12476,PARS OIL AND GAS COMPANY,entity,IRAN,POGC
12477,BONYAD TAAVON SEPAH,entity,SDGT; NPWMD; IRGC; IFSR; IRAN-HR,BONYAD-E TA'AVON-E; IRGC COOPERATIVE FOUNDATION; SEPAH COOPERATIVE FOUNDATION
12478,ANSAR BANK,entity,IRAN; SDGT; NPWMD; IRGC; IFSR,ANSAR FINANCE AND CREDIT FUND; ANSAR FINANCIAL AND CREDIT INSTITUTE; BANK-E ANSAR; BANK ANSAR
12479,"FATTAH, Parviz",individual,SDGT; NPWMD; IRGC; IFSR; IRAN-EO13876,"FATTAH-QAREHBAGHI, Parviz; FATTAH, Seyyed Parviz; FATTAH QARABAGHI, Seyyed Parviz"
12480,LINER TRANSPORT KISH,entity,SDGT; IFSR,
12481,MEHR BANK,entity,SDGT; NPWMD; IRGC; IFSR,MEHR INTEREST-FREE BANK; MEHR FINANCE AND CREDIT INSTITUTE
12483,LOS GUEROS,entity,SDNTK,
12486,"RODRIGUEZ OLIVERA, Daniel",individual,SDNTK,"RODRIGUEZ MORFIN, Daniel"
12487,"RODRIGUEZ OLIVERA, Miguel",individual,SDNTK,"MORFIN RODRIGUEZ, Miguel"
12523,SHAHID AHMAD KAZEMI INDUSTRIES GROUP,entity,NPWMD; IFSR,
12524,M. BABAIE INDUSTRIES,entity,NPWMD; IFSR,SHAHID BABAIE INDUSTRIES; SHAHID BABAIE INDUSTRIES COMPLEX; SHAHID BABAII INDUSTRIES CO.
12527,"AVENDANO OJEDA, Sergio",individual,SDNTK,
12528,"AVENDANO OJEDA, Hector Manuel",individual,SDNTK,
12529,"AVENDANO OJEDA, Martin Guadencio",individual,SDNTK,"OJEDA AVENDANO, Martin; AVENDANO LOPEZ, Martin; AVENDANO, Mariano; NARANJO, Carlos"
12530,AUTODROMO CULIACAN RACE PARK,entity,SDNTK,
12531,AUTOS MINI,entity,SDNTK,
12533,"KHAROUBI, Jamal Mohamad",individual,SDNTK,
12534,"AYACHE, Hassan Mahmoud",individual,SDNTK,"AYACHE, Hassan Mohamad; AYASH, Hassan; AYASH, Hassane; AYASH, Hassan Muhammad; AYACH, Hassan"
12535,"AYASH, Hassan",individual,SDNTK,"AYACHE, Mahmoud Hassan"
12540,"JOUMAA, Ayman Saied",individual,SDNTK,"JOUMAA, Aiman; JOUMAA, Eiman; JOMAA, Aymen; JOUMHA, Aymen; JOMAA, Aymen Saeid; JOMAA KHARFAN, Aiman Said"
12541,JOUMAA MONEY LAUNDERING ORGANIZATION / DRUG TRAFFICKING ORGANIZATION,entity,SDNTK,
12543,PHENICIA SHIPPING OFFSHORE SARL,entity,SDNTK,
12544,ELLISSA EXCHANGE COMPANY,entity,SDNTK,ELESSA EXCHANGE; ELISSA EXCHANGE
12545,HASSAN AYASH EXCHANGE COMPANY,entity,SDNTK,HASSAN AYAS PARTNER EXCHANGE CO; AYASH XCHANGE CO.; AYASH EXCHANGE COMPANY SARL; MAKDESSI SAYRAFI COMPANY; HASSANE AYASH EXCHANGE CO. SARL; HASSAN AYACH EXCHANGE
12547,GOLDI ELECTRONICS S.A.,entity,SDNTK,
12549,NEW LINE EXCHANGE TRUST CO.,entity,SDNTK,
12550,MACPAR MAKINA SAN VE TIC A.S.,entity,NPWMD; IFSR,MACPAR MAKINA
12551,STEP A.S.,entity,NPWMD; IFSR,STEP ISTANBUL; STANDART TEKNIK PARCA SAN VE TIC A.S.; STEP STANDARD TECHNICAL COMPONENTS INDUSTRY AND TRADING CORPORATION; STANDARD TECHNICAL COMPONENT INDUSTRY AND TRADE COMPANY; STEP S.A.
12552,MULTIMAT IC VE DIS TICARET PAZARLAMA LIMITED SIRKETI,entity,NPWMD; IFSR,MULTIMAT DOMESTIC AND FOREIGN TRADE MARKETING LTD.; MULTIMAT TEHRAN
12553,CARVANA COMPANY,entity,NPWMD; IFSR,
12554,MACHINE PARDAZAN CO.,entity,NPWMD; IFSR,MACHINE PARDAZAN LTD.; MACHINE PARDAZAN CO. LTD.
12555,"JAFARI, Milad",individual,NPWMD; IFSR,
12556,"JAFARI, Mohammad Javad",individual,NPWMD; IFSR,
12557,"FALSAFI, Mahin",individual,NPWMD; IFSR,
12558,"JAFARI, Mani",individual,NPWMD; IFSR,
12559,"DURANSOY, Muammer Kuntay",individual,NPWMD; IFSR,
12560,"DURANSOY, Cagri",individual,NPWMD; IFSR,
12561,"HAQQANI, Khalil Al-Rahman",individual,SDGT,"HAQQANI, Khalil ur Rahman; HAQQANI, Khaleel; HAQQANI, Khalil Ahmad"
12562,"'ABD AL-SALAM, Said Jan",individual,SDGT,"'ABD-AL-SALAM, Sa'id Jan; 'ABDALLAH, Qazi; ABDULLAH, Qazi; WALID, Ibrahim; ZAIN KHAN, Dilawar Khan; SA'ID JAN, Qasi; JHAN, Said; KHAN, Farhan; CAIRO, Aziz"
12575,"KARTAL, Remzi",individual,SDNTK,
12576,"BAYIK, Cemil",individual,SDNTK,
12577,"KALKAN, Duran",individual,SDNTK,"ERDEM, Selahattin"
12578,"OK, Sabri",individual,SDNTK,
12579,"UZUN, Adem",individual,SDNTK,
12580,GREEN LEAF GENERAL TRADING LLC,entity,SDNTK,GREEN LEAF TRADING LLC
12581,NEW ANSARI MONEY EXCHANGE,entity,SDNTK,NEW ANSARI MONEY SERVICES PROVIDER; NAWI ANSARI LTD; NEW ANSARI COMPANY
12582,NEW ANSARI LTD,entity,SDNTK,
12583,AL ADAL EXCHANGE,entity,SDNTK,
12584,CONNECT TELECOM GENERAL TRADING LLC,entity,SDNTK,
12587,"BARAKZAI ANSARI, Haji Abdullah",individual,SDNTK,"ANSARI, Haji Abdullah; BARAKZAI, Haji Abdullah"
12588,"KHAN, Haji Mohammad",individual,SDNTK,
12591,"NOORULLAH, Haji",individual,SDNTK,
12592,"NOOR, Haji Mohammad",individual,SDNTK,"MOHAMMED KUL, Mohammed Nour; MOHAMED KOL, Mohammed Noor"
12594,"MOHAMMAD AFZAL, Rahmatullah",individual,SDNTK,
12595,"HAJI ABDUL QAYOUM, Eissa Jan",individual,SDNTK,"HAJI ABDUL QAYOUM, Eisa Jon; HAJI ABDUL QAYOUM, Eisa Jan"
12596,"JAFARI DOLATABADI, Abbas",individual,IRAN-HR,"JA'FARI-DOLATABADI, Abbas; JA'AFARI DOLATABADI, Abbas; JAFARI-DOLATABADI, Abbas; JAFARI DOLAT-ABADI, Abbas; JAFARI DOVLATABADI, Abbas; JA'FARI-DOWLATABADI, Abbas; JAFARI DOWLATABADI, Abbas"
12597,"BA'ASYIR, Abdul Rahim",individual,SDGT,"BASHIR, Abdul Rahim; BA'ASYIR, 'Abd Al-Rahim; BASHIR, 'Abd Al-Rahim; BA'ASYIR, Abdurrahim; BASHIR, Abdurrahim; BA'ASYIR, Abdul Rachim; BASHIR, Abdul Rachim; BA'ASYIR, Abdul Rochim; BASHIR, Abdul Rochim; BA'ASYIR, Abdurochim; BASHIR, Abdurochim; BA'ASYIR, Abdurrochim; BASHIR, Abdurrochim; BA'ASYIR, Abdurrahman; BASHIR, Abdurrahman"
12598,"ABDUL RAHMAN, Muhammad Jibril",individual,SDGT,"ABDURRAHMAN, Mohammad Jibril; ABDUL RAHMAN, Muhammad Jibriel; ABDURRAHMAN, Mohammad Jibriel; ARDHAN, Muhamad Ricky; ARDHAN BIN MUHAMMAD IQBAL, Muhammad Ricky; ARDHAN BIN ABU JIBRIL, Muhammad Ricky"
12599,"PATEK, Umar",individual,SDGT,"PATEK, Omar; KECIL, Umar; ARSALAN, Mike; BIN ZEIN, Hisyam; JAFAR, Anis Alawi"
12600,"SHAYESTEH, Bahram Ali",individual,SDNTK,"SHAYESTEH, Bahrami Ali; JADALI, Bahrami Ali"
12602,INTERCONTINENTAL BAUMASCHINEN UND NUTZFAHRZEUGE HANDELS GMBH,entity,SDNTK,INTERCONTINENTAL BAUMASCHINEN
12605,SECT OF REVOLUTIONARIES,entity,SDGT,SEKHTA EPANASTATON; SEKTA EPANASTATON; SECTA EPANASTATON; REVOLUTIONARIES SECT; REBEL SECT; ARMED STRUGGLE FOR REVOLUTIONARY INDEPENDENCE SECT OF REVOLUTIONARIES
12606,"QADHAFI, Muammar",individual,LIBYA2,"AL-QADHAFI, Muammar Abu Minyar; GADDAFI, Mu'ammar; GADDAFI, Muammar; AL-GADDAFI, Muammar; GHADAFFI, Muammar Muhammad; ELKADDAFI, Muammar; EL-QADDAFI, Muammar; AL-QADHAFI, Muammar; QADDAFI, Muammar; GADHAFI, Muammar; GHATHAFI, Muammar"
12607,"QADHAFI, Khamis",individual,LIBYA2,"GADDAFI, Khamis; AL-QADHAFI, Khamis; GHADAFFI, Khamis; AL-GADDAFI, Khamis; ELKADDAFI, Khamis; EL-QADDAFI, Khamis; QADDAFI, Khamis; GADHAFI, Khamis; GHATHAFI, Khamis; AL-QADHAFI"
12608,"QADHAFI, Saif al-Islam",individual,LIBYA2,"AL-QADHAFI, Saif al-Islam; GADDAFI, Saif al-Islam; EL-QADDAFI, Seif al-Islam; GHADAFFI, Saif al-Islam; AL-GADDAFI, Saif al-Islam; ELKADDAFI, Saif al-Islam; QADDAFI, Saif al-Islam; GADHAFI, Saif al-Islam; GHATHAFI, Saif al-Islam"
12609,"GADDAFI, Mutassim",individual,LIBYA2,"QADDAFI, Mutassim; AL-GADDAFI, Mutassim; GADHAFI, Mutassim Billah; AL-QADHAFI, Mutassim; ELKADDAFI, Mutassim; GHADAFFI, Mutassim; EL-QADDAFI, Mutassim; GHATHAFI, Mutassim; QADHAFI, Mutassim"
12610,"QADHAFI, Ayesha",individual,LIBYA2,"AL-GADDAFI, Ayesha; GADHAFI, Aisha; GHATHAFI, Aisha Muammer; AL-QADHAFI, Aisha; GHADAFFI, Aisha; ELKADDAFI, Aisha; QADHAFI, Aisha; EL-QADDAFI, Aisha; QADDAFI, Aisha; GHATHAFI, Aisha; QADHAFI, Aisha Muammar Muhammed Abu Minyar; GADDAFI, Ayesha"
12624,"ISHAQZAI, Haji Lal Jan",individual,SDNTK,"ISHAKZAI, Haji Lal Jan; ISHAQZAI, Hajji Lal Jan; ISHAQZAI, Haji Lal Jan Muslim"
12626,"FARKASH, Safia",individual,LIBYA2,"FARKASH AL-BARASSI, Safia"
12627,"GADDAFI, Hannibal",individual,LIBYA2,"QADDAFI, Hannibal; AL-QADHAFI, Hannibal; GADDAFI, Hannibal Muammar; QADHAFI, Hannibal Muammar; AL-GADDAFI, Hannibal; GHADAFFI, Hannibal; ELKADDAFI, Hannibal; EL-QADDAFI, Hannibal; GHATHAFI, Hannibal"
12628,"GADDAFI, Muhammad",individual,LIBYA2,"QADDAFI, Muhammad; AL-GADDAFI, Muhammad; GADHAFI, Mohammed; AL-QADHAFI, Mohammed; GADHAFFI, Mohammad Moammar; QADHAFI, Mohammed Muammar; ELKADDAFI, Muhammad; EL-QADDAFI, Muhammad; GHATHAFI, Muhammad"
12629,"GADDAFI, Saadi",individual,LIBYA2,"GADHAFI, Saadi; AL-QADHAFI, Sa'adi Mu'ammar; QADHAFI, Saadi; QADDAFI, Saadi; AL-GADDAFI, Saadi; ELKADDAFI, Saadi; EL-QADDAFI, Saadi; GHATHAFI, Saadi"
12631,"GADDAFI, Saif Al-Arab",individual,LIBYA2,"GADHAFI, Saif Al-Arab; GADDAFI, Seif Al-Arab; AL-QADHAFI, Saif Al-Arab; QADHAFI, Saif Al-Arab; QADDAFI, Saif Al-Arab; AL-GADDAFI, Saif Al-Arab; ELKADDAFI, Saif Al-Arab; EL-QADDAFI, Saif Al-Arab; GHATHAFI, Saif Al-Arab"
12632,"DORDA, Abu Zaid",individual,LIBYA2,"DOURDA, Abu Zaid Omar; DORDA, Abouzid Omar; DURDA, Abu Zeid Omar; DORDA, Bu Zaid; DORDA, Abu Zayd Umar; ABUZED OE, Dorda"
12633,"MATUQ, Matuq Mohammed",individual,LIBYA2,"MATUQ, Matuq Muhammad; MATOUK, Matouk Mohamed"
12634,"JABIR, Abu Bakr Yunis",individual,LIBYA2,"JABER, Abu Bakr Yunis"
12635,"AL-SENUSSI, Abdullah",individual,LIBYA2,"SENUSSI, Abdullah"
12667,"DE GARIKOITZ ASPIAZU RUBINA, Miguel",individual,SDGT,"DE GARIKOITZ ASPIAZU URBINA, Miguel"
12668,"DE FRUTOS, Jose Ignacio Reta",individual,SDGT,"DE FRUTOS, Joseba Inaki Reta; FRUIT, Joseba Inaki Reta"
12669,"AL-ASIRI, Ibrahim Hassan Tali",individual,SDGT,"ASSIRI, Ibrahim Hassan Tali; 'ASIRI, Ibrahim Hasan Tali'A; AL-'ASIRI, Ibrahim Hasan Tali; AL-'ASIRI, Ibrahim; AL ASIRI, Ibrahim Hassan"
12684,"ZLITNI, Abdulhafid",individual,LIBYA2,"AL-ZULAYTINI, Abd-Al-Hafid Mahmud; ZLITNI, Abdul Hafiz; ZLITNI, Abdelhafidh; ZLITNI, Abdul Hafid; ZLITNI, Abdulhafid Mahmoud; ZLEITNI, Abdel-Hafez"
12685,GADDAFI INTERNATIONAL CHARITY AND DEVELOPMENT FOUNDATION,entity,LIBYA2,GADDAFI INTERNATIONAL FOUNDATION FOR CHARITY ORGANISATIONS
12686,WAATASEMU CHARITY ASSOCIATION,entity,LIBYA2,
12688,"SALEH, Bachir",individual,LIBYA2,"BASHIR, Bashir Saleh; SALEH, Bashir"
12690,"AL BAGHDADI, Ali Al-Mahmoudi",individual,LIBYA2,"MAHMUDI, Baghdadi"
12696,BANK OF EAST LAND,entity,DPRK,TONGBANG U'NHAENG; TONGBANG BANK; DONGBANG BANK
12722,"MAMLUK, Ali",individual,HRIT-SY,"MAMLUK, 'Ali"
12724,"NAJIB, Atif",individual,PAARSSR-EO13894,"NAJEEB, Atef; NAJIB, Atef"
12725,"AL-ASSAD, Maher",individual,PAARSSR-EO13894,"ASSAD, Maher; ASSAD, Mahar; AL-ASAD, Mahir"
12727,BASIJ RESISTANCE FORCE,entity,FTO; SDGT; IRGC; IFSR; IRAN-HR,SAZMAN-E MOGHAVEMAT-E BASIJ; BASIJ-E MELLI; BASEEJ; MOBILIZATION OF THE OPPRESSED ORGANIZATION; SAZMAN BASIJ MELLI; VAHED-E BASIJ-E MOSTAZAFEEN; BASIJ; ISLAMIC REVOLUTION GUARDS CORPS RESISTANCE FORCE; SAZEMAN-E BASIJ-E MOSTAZAFAN; VAHED-E BASIJ MOSTAZA'FEEN; NIROOYE MOGHAVEMATE BASIJ; NIRUYEH MOGHAVEMAT BASIJ; BASIJ RESISTANCE FORCES
12733,ARMY OF ISLAM,entity,FTO; SDGT,JAISH AL-ISLAM; JAYSH AL-ISLAM
12735,"AL-ASSAD, Bashar",individual,PAARSSR-EO13894,"AL-ASAD, Bashar; ASSAD, Bashar; AL ASSAD, Bashar Hafez"
12740,"AL-SHAAR, Mohammad Ibrahim",individual,PAARSSR-EO13894,"AL-SHA'AR, Muhammad Ibrahim; AL-CHAAR, Mohammad Ibrahim; AL-SHAAR, Muhammad Ibrahim; AL-SHAAR, Mohammed Ibrahim"
12744,CHAM HOLDING,entity,PAARSSR-EO13894,CHAM INVESTMENT GROUP; AL SHAM COMPANY; SHAM HOLDING COMPANY SAL; AL-SHAM COMPANY
12745,BENA PROPERTIES,entity,PAARSSR-EO13894,BENA; BANNA PROPERTIES
12746,AL MASHREQ INVESTMENT FUND,entity,PAARSSR-EO13894,AL MASHREK FUND; AL MASHREK HOLDING; AL MASHRIQ INVESTMENT FUND; AL MASHRIQ HOLDING
12748,"QUDSIYAH, Abdul Fatah",individual,PAARSSR-EO13894,"QUDSIYAH, Abd-al-Fatah; QUDSIAH, Abdulfatah"
12749,"ZAITOUN, Mohammed Dib",individual,PAARSSR-EO13894,"ZAYTUN, Muhammad Dib; ZEITOUN, Mohammed Dib"
12750,"CHIZARI, Mohsen",individual,SDGT,"HANSURI, Muhammad Muhawad"
12751,"TORRES FELIX, Manuel",individual,SDNTK,"FELIX FELIX, Manuel; TORRES, Manuel J; TORRES FELIX, Manuel De Jesus; TORRES, Manuel Felix"
12753,"NYAKINIYWA, Naima Mohamed",individual,SDNTK,
12754,"MWAU, John Harun",individual,SDNTK,
12755,"CALLE SERNA, Javier Antonio",individual,SDNTK,
12756,CAUCASUS EMIRATE,entity,SDGT,IMIRAT KAVKAZ; IMARAT KAVKAZ; ISLAMIC EMIRATE OF THE CAUCASUS
12762,"MOGHADAM, Ismail Ahmadi",individual,IRAN-HR; IRAN-TRA,"MOGHADDAM, Ismail Ahmadi; MOGHADDAM, Esameel Ahmadi; AHMADI-MOGHADDAM, Esma'il; AHMADI-MOQADDAM, Esma'il; AHMADI MOGHADDAM, Esma'il; AHMADI MOGHADAM, Ismail; AHMADI-MOGHADDAM, Esmail"
12763,LAW ENFORCEMENT FORCES OF THE ISLAMIC REPUBLIC OF IRAN,entity,IRAN-HR; HRIT-IR,IRAN'S LAW ENFORCEMENT FORCES; NIRUYIH INTIZAMIYEH JUMHURIYIH ISLAMIYIH IRAN; NAJA; IRANIAN POLICE
12783,"BELLOSO RODRIGUEZ, Daniel",individual,SDNTK,"BELLOZO RODRIGUEZ, Daniel"
12784,"BELLOSO RODRIGUEZ, Miguel Angel",individual,SDNTK,"BELLOZO RODRIGUEZ, Miguel Angel"
12785,"GALAVIZ MARTIN, Mayra",individual,SDNTK,
12786,"VASQUEZ HERNANDEZ, Alfredo",individual,SDNTK,"VAZQUEZ HERNANDEZ, Alfredo; VASQUES HERNANDEZ, Alfredo; BAZAN OROZCO, Alberto"
12787,"AL-GHAMDI, Othman",individual,SDGT,"AL-GHAMDI, Al Umairah; AL-GHAMDI, Uthman; AL-GHAMIDI, Uthman; AL-GHAMDI, Uthman Ahmad Uthman; AL-OMIRAH, Othman Ahmed Othman"
12788,"BAGHBANI, Gholamreza",individual,SDNTK,"BAQBANI, Qolam Reza; BAQBANI, Mohammad Akhusa"
